[2025-10-21 21:03:42] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 21:03:42] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 21:04:19] [20251021210342] Epoch 0, train loss pos=286.8329, neg=17918.5737, val_acc=0.2721, margin=0.0500, ema_gap=24257.1113, positive_90.0_503.88867187500006_0.9_0.27205702398433673
[2025-10-21 21:04:54] [20251021210342] Epoch 1, train loss pos=185.2492, neg=26706.9837, val_acc=0.3147, margin=0.0500, ema_gap=4371.0293, positive_90.0_217.4358978271486_0.9_0.31473323543808124
[2025-10-21 21:05:36] [20251021210342] Epoch 2, train loss pos=111.9215, neg=39236.9852, val_acc=0.3287, margin=0.0500, ema_gap=40532.1094, positive_90.0_119.51901626586918_0.9_0.3287139011257954
[2025-10-21 21:06:21] [20251021210342] Epoch 3, train loss pos=84.6695, neg=23220.8335, val_acc=0.3318, margin=0.0500, ema_gap=7332.4097, positive_90.0_91.55287322998055_0.9_0.33183431228585414
[2025-10-21 21:06:59] [20251021210342] Epoch 4, train loss pos=72.6972, neg=7233.6351, val_acc=0.3323, margin=0.0500, ema_gap=10305.2969, positive_90.0_79.90830535888684_0.9_0.33226260401370533
[2025-10-21 21:07:32] [20251021210342] Epoch 5, train loss pos=66.5577, neg=10811.8066, val_acc=0.3317, margin=0.0500, ema_gap=14553.6445, positive_90.0_72.52799072265631_0.9_0.33174253548702887
[2025-10-21 21:08:02] [20251021210342] Epoch 6, train loss pos=63.1569, neg=8330.7512, val_acc=0.3335, margin=0.0500, ema_gap=5407.9526, positive_90.0_66.80319366455085_0.9_0.3334557023984337
[2025-10-21 21:08:38] [20251021210342] Epoch 7, train loss pos=59.2946, neg=9331.6666, val_acc=0.3328, margin=0.0500, ema_gap=13171.0723, positive_90.0_64.00282363891606_0.9_0.33281326480665685
[2025-10-21 21:09:21] [20251021210342] Epoch 8, train loss pos=56.7587, neg=23794.2953, val_acc=0.3269, margin=0.0500, ema_gap=144375.7812, positive_90.0_66.7942726135254_0.9_0.3269395496818404
[2025-10-21 21:10:09] [20251021210342] Epoch 9, train loss pos=54.3149, neg=84869.4280, val_acc=0.3303, margin=0.0500, ema_gap=99699.3203, positive_90.0_57.753676223754894_0.9_0.33033529123837496
[2025-10-21 21:10:52] [20251021210342] Epoch 10, train loss pos=52.6938, neg=157817.2687, val_acc=0.3280, margin=0.0500, ema_gap=274595.6250, negative_67.2_60.71983526611329_0.9_0.32801027900146845
[2025-10-21 21:11:25] [20251021210342] Epoch 11, train loss pos=50.6949, neg=336536.1974, val_acc=0.3302, margin=0.0500, ema_gap=10765865.0000, positive_90.0_60.19944458007815_0.9_0.3301823299069995
[2025-10-21 21:12:02] [20251021210342] Epoch 12, train loss pos=48.3073, neg=663370.6549, val_acc=0.3318, margin=0.0500, ema_gap=291527.8750, positive_90.0_56.14203414916996_0.9_0.33180372001957903
[2025-10-21 21:12:44] [20251021210342] Epoch 13, train loss pos=47.6405, neg=935252.3958, val_acc=0.3297, margin=0.0500, ema_gap=858179.1875, positive_90.0_54.60138397216798_0.9_0.3296928536465981
[2025-10-21 21:13:33] [20251021210342] Epoch 14, train loss pos=46.1064, neg=1148274.2753, val_acc=0.3294, margin=0.0500, ema_gap=751271.2500, positive_90.0_52.806861114501956_0.9_0.32944811551639747
[2025-10-21 21:14:28] [20251021210342] Epoch 15, train loss pos=45.2878, neg=1298509.7730, val_acc=0.3314, margin=0.0500, ema_gap=973508.5000, positive_90.0_49.86089897155764_0.9_0.33140602055800295
[2025-10-21 21:15:18] [20251021210342] Epoch 16, train loss pos=44.7551, neg=1463631.9825, val_acc=0.3291, margin=0.0500, ema_gap=523689.7812, positive_90.0_52.61169929504397_0.9_0.3291421928536466
[2025-10-21 21:16:18] [20251021210342] Epoch 17, train loss pos=43.9097, neg=1465928.2592, val_acc=0.3323, margin=0.0500, ema_gap=1185841.1250, positive_90.0_48.0064636230469_0.9_0.3323237885462555
[2025-10-21 21:17:26] [20251021210342] Epoch 18, train loss pos=42.8591, neg=1470252.3492, val_acc=0.3343, margin=0.0500, ema_gap=1567880.3750, positive_90.0_42.34632835388186_0.9_0.3342511013215859
[2025-10-21 21:18:20] [20251021210342] Epoch 19, train loss pos=41.6713, neg=1099749.2673, val_acc=0.3289, margin=0.0500, ema_gap=2029778.2500, positive_90.0_48.57782211303716_0.9_0.32886686245717084
[2025-10-21 21:19:07] [20251021210342] Epoch 20, train loss pos=41.5104, neg=1658871.8056, val_acc=0.3343, margin=0.0500, ema_gap=637065.6875, positive_90.0_41.99167518615723_0.9_0.3342511013215859
[2025-10-21 21:19:59] [20251021210342] Epoch 21, train loss pos=40.3779, neg=1093074.2801, val_acc=0.3306, margin=0.0500, ema_gap=1267997.3750, positive_90.0_43.57260475158699_0.9_0.3306412139011258
[2025-10-21 21:21:02] [20251021210342] Epoch 22, train loss pos=40.1625, neg=629993.9048, val_acc=0.3321, margin=0.0500, ema_gap=687576.0625, positive_90.0_44.06237525939942_0.9_0.33207905041605484
[2025-10-21 21:22:07] [20251021210342] Epoch 23, train loss pos=39.6837, neg=1143750.3838, val_acc=0.3313, margin=0.0500, ema_gap=1276864.5000, positive_90.0_42.537421035766606_0.9_0.3313142437591777
