[2025-10-21 22:11:23] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 22:11:23] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 22:11:38] [20251021221123] Epoch: 0, train loss positive: 318.4415, train loss negative: 2586.7511, val acc: 1.0000, all_100_18802948.0_1.0_0.0
[2025-10-21 22:11:48] [20251021221123] Epoch: 1, train loss positive: 277.8362, train loss negative: 2238.2266, val acc: 1.0000, all_100_4288986.0_1.0_0.0
[2025-10-21 22:11:59] [20251021221123] Epoch: 2, train loss positive: 256.4031, train loss negative: 1032.0250, val acc: 1.0000, all_100_435192.75_1.0_0.0
[2025-10-21 22:12:10] [20251021221123] Epoch: 3, train loss positive: 242.1585, train loss negative: 680.9742, val acc: 1.0000, all_100_805810.375_1.0_0.0
[2025-10-21 22:12:22] [20251021221123] Epoch: 4, train loss positive: 230.1970, train loss negative: 842.8753, val acc: 1.0000, all_100_6147774.0_1.0_0.0
[2025-10-21 22:12:33] [20251021221123] Epoch: 5, train loss positive: 221.2812, train loss negative: 1155.4481, val acc: 1.0000, all_100_11832811.0_1.0_0.0
[2025-10-21 22:12:43] [20251021221123] Epoch: 6, train loss positive: 214.9219, train loss negative: 1203.8183, val acc: 1.0000, all_100_4285533.5_1.0_0.0
[2025-10-21 22:12:54] [20251021221123] Epoch: 7, train loss positive: 210.1033, train loss negative: 813.6169, val acc: 1.0000, all_100_7003408.0_1.0_0.0
[2025-10-21 22:13:05] [20251021221123] Epoch: 8, train loss positive: 203.8909, train loss negative: 979.5924, val acc: 1.0000, all_100_4650939.5_1.0_0.0
[2025-10-21 22:13:16] [20251021221123] Epoch: 9, train loss positive: 199.8206, train loss negative: 2528.4732, val acc: 1.0000, all_100_91490008.0_1.0_0.0
[2025-10-21 22:13:29] [20251021221123] Epoch: 10, train loss positive: 196.1665, train loss negative: 3875.4150, val acc: 1.0000, all_100_36667300.0_1.0_0.0
[2025-10-21 22:13:40] [20251021221123] Epoch: 11, train loss positive: 193.9360, train loss negative: 9678.4616, val acc: 1.0000, all_100_472164384.0_1.0_0.0
[2025-10-21 22:13:51] [20251021221123] Epoch: 12, train loss positive: 189.2682, train loss negative: 5705.8377, val acc: 1.0000, all_100_78122544.0_1.0_0.0
[2025-10-21 22:14:02] [20251021221123] Epoch: 13, train loss positive: 186.1988, train loss negative: 6352.2790, val acc: 1.0000, all_100_72230872.0_1.0_0.0
[2025-10-21 22:14:13] [20251021221123] Epoch: 14, train loss positive: 183.5451, train loss negative: 5416.4423, val acc: 1.0000, all_100_64620996.0_1.0_0.0
[2025-10-21 22:14:24] [20251021221123] Epoch: 15, train loss positive: 184.3635, train loss negative: 4745.1123, val acc: 1.0000, all_100_11634181.0_1.0_0.0
[2025-10-21 22:14:35] [20251021221123] Epoch: 16, train loss positive: 180.0262, train loss negative: 4284.2711, val acc: 1.0000, all_100_13137535.0_1.0_0.0
