[2025-10-21 16:50:08] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 16:50:08] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=l1, hidden_dim1=32, hidden_dim2=64, mamba_d_state=16, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 16:50:20] [20251021165008] Epoch: 0, train loss positive: 5.6749, train loss negative: 17.8021, val acc: 0.8372, positive_0_0.3079288899898529
[2025-10-21 16:50:30] [20251021165008] Epoch: 1, train loss positive: 5.2836, train loss negative: 14.9954, val acc: 0.8372, positive_0_0.30585119128227234
[2025-10-21 16:50:39] [20251021165008] Epoch: 2, train loss positive: 5.1098, train loss negative: 13.1999, val acc: 0.8372, positive_0_0.3040085732936859
[2025-10-21 16:50:49] [20251021165008] Epoch: 3, train loss positive: 5.0044, train loss negative: 12.1855, val acc: 0.8372, positive_0_0.301819384098053
[2025-10-21 16:50:58] [20251021165008] Epoch: 4, train loss positive: 4.9281, train loss negative: 11.4399, val acc: 0.8372, positive_0_0.2998234033584595
[2025-10-21 16:51:08] [20251021165008] Epoch: 5, train loss positive: 4.8756, train loss negative: 11.1083, val acc: 0.8372, positive_0_0.2980058193206787
[2025-10-21 16:51:17] [20251021165008] Epoch: 6, train loss positive: 4.8297, train loss negative: 10.7768, val acc: 0.8372, positive_0_0.29588958621025085
[2025-10-21 16:51:27] [20251021165008] Epoch: 7, train loss positive: 4.8025, train loss negative: 10.5364, val acc: 0.8372, positive_0_0.29427483677864075
[2025-10-21 16:51:36] [20251021165008] Epoch: 8, train loss positive: 4.7735, train loss negative: 10.3645, val acc: 0.8372, positive_0_0.29246875643730164
[2025-10-21 16:51:46] [20251021165008] Epoch: 9, train loss positive: 4.7531, train loss negative: 10.1008, val acc: 0.8372, positive_0_0.2907502353191376
[2025-10-21 16:51:55] [20251021165008] Epoch: 10, train loss positive: 4.7381, train loss negative: 10.0359, val acc: 0.8372, positive_0_0.2889341413974762
[2025-10-21 16:52:05] [20251021165008] Epoch: 11, train loss positive: 4.7216, train loss negative: 9.9085, val acc: 0.8372, positive_0_0.2875869572162628
[2025-10-21 16:52:14] [20251021165008] Epoch: 12, train loss positive: 4.7124, train loss negative: 9.8216, val acc: 0.8372, positive_0_0.28601405024528503
[2025-10-21 16:52:24] [20251021165008] Epoch: 13, train loss positive: 4.7003, train loss negative: 9.7367, val acc: 0.8372, positive_0_0.2845255732536316
[2025-10-21 16:52:33] [20251021165008] Epoch: 14, train loss positive: 4.6931, train loss negative: 9.6566, val acc: 0.8372, positive_0_0.282981276512146
[2025-10-21 16:52:42] [20251021165008] Epoch: 15, train loss positive: 4.6863, train loss negative: 9.6516, val acc: 0.8372, positive_0_0.28153613209724426
