[2025-10-12 15:35:08] Epoch: 0, train loss: 209790.2685, val loss: 89791.5220, val mpjpe: 359.3881
[2025-10-12 15:35:21] Epoch: 1, train loss: 60004.5095, val loss: 58977.3511, val mpjpe: 274.8927
[2025-10-12 15:35:32] Epoch: 2, train loss: 41174.9052, val loss: 46356.7078, val mpjpe: 211.7060
[2025-10-12 15:35:43] Epoch: 3, train loss: 33854.3589, val loss: 32917.3290, val mpjpe: 168.6770
[2025-10-12 15:35:55] Epoch: 4, train loss: 30335.8122, val loss: 29239.1367, val mpjpe: 151.4992
[2025-10-12 15:36:06] Epoch: 5, train loss: 28079.1986, val loss: 30227.4884, val mpjpe: 153.1905
[2025-10-12 15:36:18] Epoch: 6, train loss: 26076.1013, val loss: 31678.7997, val mpjpe: 147.5237
[2025-10-12 15:36:29] Epoch: 7, train loss: 25049.3640, val loss: 30450.1611, val mpjpe: 151.8613
[2025-10-12 15:36:40] Epoch: 8, train loss: 24580.4929, val loss: 24978.5474, val mpjpe: 129.6719
[2025-10-12 15:36:51] Epoch: 9, train loss: 23235.4435, val loss: 26457.3147, val mpjpe: 133.8734
[2025-10-12 15:37:02] Epoch: 10, train loss: 22819.3419, val loss: 26029.3113, val mpjpe: 133.8502
[2025-10-12 15:37:14] Epoch: 11, train loss: 22211.6294, val loss: 22350.8306, val mpjpe: 119.2740
[2025-10-12 15:37:25] Epoch: 12, train loss: 21230.1089, val loss: 23755.2565, val mpjpe: 122.4275
[2025-10-12 15:37:36] Epoch: 13, train loss: 20249.5640, val loss: 22984.2496, val mpjpe: 123.2282
[2025-10-12 15:37:47] Epoch: 14, train loss: 19610.6531, val loss: 20823.1079, val mpjpe: 113.7792
[2025-10-12 15:37:59] Epoch: 15, train loss: 18976.7283, val loss: 20208.1648, val mpjpe: 109.6904
[2025-10-12 15:38:05] Epoch: 16, train loss: 18527.8582, val loss: 19487.8381, val mpjpe: 108.2384
[2025-10-12 15:38:10] Epoch: 17, train loss: 18318.6838, val loss: 25021.3523, val mpjpe: 129.6746
[2025-10-12 15:38:16] Epoch: 18, train loss: 17414.1958, val loss: 20373.5018, val mpjpe: 111.7589
[2025-10-12 15:38:21] Epoch: 19, train loss: 17398.2299, val loss: 18981.6369, val mpjpe: 105.0165
[2025-10-12 15:38:28] Epoch: 20, train loss: 16894.3725, val loss: 16768.8169, val mpjpe: 95.7738
[2025-10-12 15:38:35] Epoch: 21, train loss: 16321.5524, val loss: 17877.1960, val mpjpe: 101.8349
[2025-10-12 15:38:48] Epoch: 22, train loss: 16140.5923, val loss: 17129.1093, val mpjpe: 95.3245
[2025-10-12 15:39:02] Epoch: 23, train loss: 15714.0612, val loss: 18078.0134, val mpjpe: 99.0552
[2025-10-12 15:39:16] Epoch: 24, train loss: 16078.6825, val loss: 16784.1847, val mpjpe: 97.2856
[2025-10-12 15:39:30] Epoch: 25, train loss: 15005.0488, val loss: 16107.6935, val mpjpe: 91.6773
[2025-10-12 15:39:44] Epoch: 26, train loss: 14693.6369, val loss: 16856.7853, val mpjpe: 93.4219
[2025-10-12 15:39:58] Epoch: 27, train loss: 14465.5446, val loss: 15903.4326, val mpjpe: 92.2747
[2025-10-12 15:40:12] Epoch: 28, train loss: 14089.8350, val loss: 20746.1610, val mpjpe: 109.4796
[2025-10-12 15:40:26] Epoch: 29, train loss: 14004.0698, val loss: 14476.8924, val mpjpe: 83.6126
[2025-10-12 15:40:40] Epoch: 30, train loss: 14421.1355, val loss: 18044.7896, val mpjpe: 96.5162
[2025-10-12 15:40:54] Epoch: 31, train loss: 13386.2702, val loss: 14811.0825, val mpjpe: 87.6379
[2025-10-12 15:41:07] Epoch: 32, train loss: 13152.4288, val loss: 13491.3116, val mpjpe: 81.2213
[2025-10-12 15:41:22] Epoch: 33, train loss: 12664.3065, val loss: 13600.5425, val mpjpe: 80.6136
[2025-10-12 15:41:37] Epoch: 34, train loss: 12414.4660, val loss: 13770.7046, val mpjpe: 80.4898
[2025-10-12 15:41:53] Epoch: 35, train loss: 12572.0930, val loss: 13514.6285, val mpjpe: 81.5760
[2025-10-12 15:42:07] Epoch: 36, train loss: 12240.4894, val loss: 12718.2261, val mpjpe: 75.3800
[2025-10-12 15:42:22] Epoch: 37, train loss: 12066.3285, val loss: 13561.0521, val mpjpe: 79.5786
[2025-10-12 15:42:35] Epoch: 38, train loss: 11830.3916, val loss: 14667.5134, val mpjpe: 84.8563
[2025-10-12 15:42:50] Epoch: 39, train loss: 11779.6604, val loss: 13959.0286, val mpjpe: 81.1425
[2025-10-12 15:43:04] Epoch: 40, train loss: 12044.4577, val loss: 14092.6946, val mpjpe: 82.2020
[2025-10-12 15:43:18] Epoch: 41, train loss: 11518.1501, val loss: 12788.4944, val mpjpe: 73.5367
[2025-10-12 15:43:35] Epoch: 42, train loss: 11142.8578, val loss: 13187.2585, val mpjpe: 80.1457
[2025-10-12 15:43:50] Epoch: 43, train loss: 10914.7507, val loss: 13940.5927, val mpjpe: 78.7876
[2025-10-12 15:44:05] Epoch: 44, train loss: 10737.7961, val loss: 11960.1637, val mpjpe: 69.3098
[2025-10-12 15:44:19] Epoch: 45, train loss: 10631.8711, val loss: 14796.9288, val mpjpe: 80.9628
[2025-10-12 15:44:32] Epoch: 46, train loss: 10727.3718, val loss: 12948.5675, val mpjpe: 74.5908
[2025-10-12 15:44:46] Epoch: 47, train loss: 10058.1136, val loss: 11884.3673, val mpjpe: 69.4861
[2025-10-12 15:45:00] Epoch: 48, train loss: 9840.6818, val loss: 12293.4231, val mpjpe: 71.7547
[2025-10-12 15:45:15] Epoch: 49, train loss: 10041.6401, val loss: 11853.1156, val mpjpe: 67.2620
[2025-10-12 15:45:29] Epoch: 50, train loss: 10048.8384, val loss: 12221.6301, val mpjpe: 70.7819
[2025-10-12 15:45:44] Epoch: 51, train loss: 10002.4902, val loss: 11853.1601, val mpjpe: 69.1166
[2025-10-12 15:45:59] Epoch: 52, train loss: 9745.8687, val loss: 11556.8564, val mpjpe: 68.2367
[2025-10-12 15:46:14] Epoch: 53, train loss: 9377.3887, val loss: 11906.9154, val mpjpe: 68.8490
[2025-10-12 15:46:29] Epoch: 54, train loss: 9283.8444, val loss: 12049.1638, val mpjpe: 69.2653
[2025-10-12 15:46:43] Epoch: 55, train loss: 9173.4294, val loss: 11718.6695, val mpjpe: 65.7702
[2025-10-12 15:46:56] Epoch: 56, train loss: 9223.3044, val loss: 11573.5107, val mpjpe: 65.6721
[2025-10-12 15:47:11] Epoch: 57, train loss: 9121.2914, val loss: 11735.0103, val mpjpe: 67.2592
[2025-10-12 15:47:24] Epoch: 58, train loss: 8884.2448, val loss: 13320.4963, val mpjpe: 71.0887
[2025-10-12 15:47:39] Epoch: 59, train loss: 9332.4492, val loss: 13476.8067, val mpjpe: 74.9304
[2025-10-12 15:47:52] Epoch: 60, train loss: 9183.7565, val loss: 12186.0489, val mpjpe: 67.1124
[2025-10-12 15:48:09] Epoch: 61, train loss: 8574.1518, val loss: 12147.2748, val mpjpe: 66.8722
[2025-10-12 15:48:23] Epoch: 62, train loss: 8883.4314, val loss: 11716.7643, val mpjpe: 67.0713
[2025-10-12 15:48:38] Epoch: 63, train loss: 8479.2373, val loss: 11733.3693, val mpjpe: 63.9234
[2025-10-12 15:48:51] Epoch: 64, train loss: 8431.8964, val loss: 11726.1425, val mpjpe: 64.4492
[2025-10-12 15:49:05] Epoch: 65, train loss: 8139.1382, val loss: 11818.7612, val mpjpe: 64.4747
[2025-10-12 15:49:21] Epoch: 66, train loss: 8458.1531, val loss: 11609.9443, val mpjpe: 64.3541
[2025-10-12 15:49:35] Epoch: 67, train loss: 8032.5843, val loss: 11735.3700, val mpjpe: 63.1137
[2025-10-12 15:49:50] Epoch: 68, train loss: 8694.3689, val loss: 12722.6742, val mpjpe: 71.0448
[2025-10-12 15:50:04] Epoch: 69, train loss: 8724.7657, val loss: 11858.4189, val mpjpe: 65.2305
[2025-10-12 15:50:18] Epoch: 70, train loss: 7986.0760, val loss: 12080.1923, val mpjpe: 64.8288
[2025-10-12 15:50:32] Epoch: 71, train loss: 7847.2721, val loss: 12048.5902, val mpjpe: 64.8199
[2025-10-12 15:50:47] Epoch: 72, train loss: 7558.0204, val loss: 11472.6210, val mpjpe: 61.3938
[2025-10-12 15:51:03] Epoch: 73, train loss: 7447.9082, val loss: 11898.6245, val mpjpe: 63.2763
[2025-10-12 15:51:16] Epoch: 74, train loss: 8433.1730, val loss: 13338.1682, val mpjpe: 68.5228
[2025-10-12 15:51:30] Epoch: 75, train loss: 7701.7836, val loss: 11989.9352, val mpjpe: 63.6934
[2025-10-12 15:51:47] Epoch: 76, train loss: 7347.6460, val loss: 12100.4368, val mpjpe: 62.7227
[2025-10-12 15:52:01] Epoch: 77, train loss: 7017.0167, val loss: 11785.3864, val mpjpe: 60.8626
[2025-10-12 15:52:15] Epoch: 78, train loss: 6909.7853, val loss: 12311.2741, val mpjpe: 62.8260
[2025-10-12 15:52:28] Epoch: 79, train loss: 6889.5465, val loss: 11862.1455, val mpjpe: 61.5295
[2025-10-12 15:52:43] Epoch: 80, train loss: 6686.3844, val loss: 11518.7579, val mpjpe: 59.2379
[2025-10-12 15:52:58] Epoch: 81, train loss: 6742.4329, val loss: 11775.3158, val mpjpe: 61.0518
[2025-10-12 15:53:11] Epoch: 82, train loss: 6799.4158, val loss: 11801.6706, val mpjpe: 59.4767
[2025-10-12 15:53:25] Epoch: 83, train loss: 6699.8007, val loss: 11532.2741, val mpjpe: 58.5201
[2025-10-12 15:53:38] Epoch: 84, train loss: 6570.8905, val loss: 11985.2159, val mpjpe: 58.6378
[2025-10-12 15:53:54] Epoch: 85, train loss: 6571.2165, val loss: 11552.2258, val mpjpe: 58.8814
[2025-10-12 15:54:07] Epoch: 86, train loss: 6582.5631, val loss: 11900.6862, val mpjpe: 60.2692
[2025-10-12 15:54:21] Epoch: 87, train loss: 6989.2618, val loss: 12821.7175, val mpjpe: 66.3094
[2025-10-12 15:54:36] Epoch: 88, train loss: 7027.3034, val loss: 12018.4196, val mpjpe: 61.0239
[2025-10-12 15:54:50] Epoch: 89, train loss: 6454.6556, val loss: 11863.7201, val mpjpe: 59.3622
[2025-10-12 15:55:04] Epoch: 90, train loss: 6242.2441, val loss: 12005.5487, val mpjpe: 58.7123
[2025-10-12 15:55:20] Epoch: 91, train loss: 6194.1615, val loss: 12509.9456, val mpjpe: 60.6260
[2025-10-12 15:55:33] Epoch: 92, train loss: 6390.2605, val loss: 12047.2117, val mpjpe: 59.8483
[2025-10-12 15:55:46] Epoch: 93, train loss: 6159.1676, val loss: 12192.1136, val mpjpe: 59.2371
[2025-10-12 15:56:02] Epoch: 94, train loss: 5985.4803, val loss: 12151.3493, val mpjpe: 59.6113
[2025-10-12 15:56:17] Epoch: 95, train loss: 5939.5002, val loss: 11928.8230, val mpjpe: 57.6796
[2025-10-12 15:56:30] Epoch: 96, train loss: 6086.7503, val loss: 12239.9275, val mpjpe: 61.1855
[2025-10-12 15:56:44] Epoch: 97, train loss: 5930.4033, val loss: 11860.8535, val mpjpe: 57.8494
[2025-10-12 15:56:58] Epoch: 98, train loss: 5827.0597, val loss: 12443.2447, val mpjpe: 58.1876
[2025-10-12 15:57:14] Epoch: 99, train loss: 5598.1847, val loss: 11894.9851, val mpjpe: 57.0633
[2025-10-12 15:57:28] Epoch: 100, train loss: 5522.9362, val loss: 12227.1770, val mpjpe: 57.5208
[2025-10-12 15:57:42] Epoch: 101, train loss: 5513.5079, val loss: 12046.4576, val mpjpe: 57.1198
[2025-10-12 15:57:56] Epoch: 102, train loss: 5628.0596, val loss: 12583.1089, val mpjpe: 58.6537
[2025-10-12 15:58:12] Epoch: 103, train loss: 5485.4327, val loss: 12131.3592, val mpjpe: 56.8138
[2025-10-12 15:58:25] Epoch: 104, train loss: 5353.1316, val loss: 12440.2881, val mpjpe: 60.9472
