[2026-04-03 06:03:47] 备注: 设备消融实验, exclude_device_idx = [2]
[2026-04-03 06:03:47] exclude_device_idx=[2], mask_ratio=0.25, batch_size=256, lr=0.001, epochs=300, loss_func=l1, resnet_verson=resnet18, imu_generator=transformer, transformer_hidden=128, transformer_layers=2, transformer_nhead=4, transformer_dropout=0.1, use_len=60, compute_len=15, predict_len=15, stride_len=15, need_normalize=True, alpha=1, beta=1, gamma=1
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, train loss1: 0.2580, train loss2: 0.5768, train loss3: 0.2672, train current mpjpe: 128.2372, train future mpjpe: 135.4211
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, val loss1: 0.2135, val loss2: 0.4946, val loss3: 0.2200, val current mpjpe: 106.1207, val future mpjpe: 112.1729
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, train current pixel pck: current_pck@5px: 0.0382, current_pck@10px: 0.0775, current_pck@20px: 0.1453, train future pixel pck: future_pck@5px: 0.0394, future_pck@10px: 0.0777, future_pck@20px: 0.1440
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, val current pixel pck: current_pck@5px: 0.0497, current_pck@10px: 0.0968, current_pck@20px: 0.1765, val future pixel pck: future_pck@5px: 0.0508, future_pck@10px: 0.0987, future_pck@20px: 0.1789
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 158.6466
        1       Neck 113.9506
        2  RShoulder 115.7051
        3     RElbow 124.1886
        4     RWrist 144.8922
        5  LShoulder 118.2245
        6     LElbow 113.2472
        7     LWrist 119.3471
        8     MidHip  11.0111
        9       RHip  28.7454
       10      RKnee  97.4268
       11     RAnkle 147.5954
       12       LHip  30.3016
       13      LKnee  96.0177
       14     LAnkle 134.5340
       15       REye 173.6210
       16       LEye 176.6897
       17       REar 173.2404
       18       LEar 154.6737
       19    LBigToe 166.5868
       20  LSmallToe 172.6987
       21      LHeel 139.4574
       22    RBigToe 171.7753
       23  RSmallToe 171.5408
       24      RHeel 151.8113
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 164.7531
        1       Neck 114.6296
        2  RShoulder 118.2408
        3     RElbow 127.0907
        4     RWrist 164.8900
        5  LShoulder 122.5984
        6     LElbow 114.1470
        7     LWrist 128.5160
        8     MidHip  10.2093
        9       RHip  30.3301
       10      RKnee 105.9241
       11     RAnkle 159.0436
       12       LHip  33.4314
       13      LKnee 104.4802
       14     LAnkle 142.7187
       15       REye 179.6649
       16       LEye 186.9201
       17       REar 176.7573
       18       LEar 159.3764
       19    LBigToe 177.3084
       20  LSmallToe 186.1863
       21      LHeel 148.2684
       22    RBigToe 180.9402
       23  RSmallToe 185.6305
       24      RHeel 163.4711
[2026-04-03 06:11:29] [20260403060347] Epoch: 0, val current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 138.2865
        1       Neck  85.8374
        2  RShoulder  88.8614
        3     RElbow  89.2565
        4     RWrist 128.5729
        5  LShoulder  91.8345
        6     LElbow  81.0243
        7     LWrist 107.3633
        8     MidHip   5.6516
        9       RHip  23.4812
       10      RKnee  79.4528
       11     RAnkle 121.5147
       12       LHip  24.4081
       13      LKnee  80.5449
       14     LAnkle 115.1579
       15       REye 148.4446
       16       LEye 156.2770
       17       REar 144.6262
       18       LEar 128.8469
