[2026-04-08 15:56:06] 备注: 数据集, baseline=tip_like_recon
[2026-04-08 15:56:06] baseline=tip_like_recon, resnet_verson=resnet18, mask_ratio=0.25, batch_size=256, lr=0.001, epochs=200, loss_func=l1, hidden_dim=128, num_layers=2, nhead=4, dropout=0.1, use_len=4, compute_len=1, predict_len=1, stride_len=1, input_channels=204, train_ratio=0.8, need_normalize=True
[2026-04-08 16:09:50] [20260408155606] Epoch: 0, train loss: 0.1967, train mean joint angle error: 21.3721 deg, train positional error: 39.1238 cm
[2026-04-08 16:09:50] [20260408155606] Epoch: 0, val loss: 0.1484, val mean joint angle error: 15.5436 deg, val positional error: 29.1239 cm
[2026-04-08 16:09:50] [20260408155606] Epoch: 0, train per-joint angle error (deg):
 joint_id joint_name  ang_err_deg
        0    joint_0      90.8116
        1    joint_1      19.0515
        2    joint_2      18.4384
        3    joint_3      15.6005
        4    joint_4      23.7439
        5    joint_5      22.5388
        6    joint_6      11.7147
        7    joint_7      14.6162
        8    joint_8      14.7241
        9    joint_9       9.4040
       10   joint_10       7.1224
       11   joint_11       7.6505
       12   joint_12      18.0795
       13   joint_13      17.6771
       14   joint_14      18.2059
       15   joint_15      18.6857
       16   joint_16      23.1707
       17   joint_17      26.6557
       18   joint_18      34.5591
       19   joint_19      33.2228
       20   joint_20      24.7129
       21   joint_21      25.4341
       22   joint_22       7.9547
       23   joint_23       9.1555
[2026-04-08 16:09:50] [20260408155606] Epoch: 0, val per-joint angle error (deg):
 joint_id joint_name  ang_err_deg
        0    joint_0      75.6244
        1    joint_1      14.0493
        2    joint_2      13.8811
        3    joint_3      10.6326
        4    joint_4      17.6725
        5    joint_5      16.7935
        6    joint_6       7.2921
        7    joint_7      10.3547
        8    joint_8      11.3561
        9    joint_9       5.1835
       10   joint_10       2.4281
       11   joint_11       2.8006
       12   joint_12      15.2548
       13   joint_13      11.6710
       14   joint_14      12.0305
       15   joint_15      15.4737
       16   joint_16      15.4784
       17   joint_17      16.4607
       18   joint_18      26.7985
       19   joint_19      25.1958
       20   joint_20      20.0153
       21   joint_21      20.6783
       22   joint_22       2.7279
       23   joint_23       3.1922
[2026-04-08 16:09:50] [20260408155606] Epoch: 0, train per-joint positional error (cm):
 joint_id joint_name  pos_err_cm
        0    joint_0      0.0000
        1    joint_1     10.1751
        2    joint_2     10.4713
        3    joint_3     10.4971
        4    joint_4     39.8654
        5    joint_5     42.6653
        6    joint_6     18.5847
        7    joint_7     60.8605
        8    joint_8     62.8565
        9    joint_9     20.0414
