[2026-05-01 00:27:57] 备注: 不拼接当前IMU尾部序列
[2026-05-01 00:27:57] mask_ratio=0.25, batch_size=256, lr=0.001, epochs=200, loss_func=l1, resnet_verson=resnet18, imu_generator=transformer, transformer_hidden=128, transformer_layers=2, transformer_nhead=4, transformer_dropout=0.1, use_len=60, compute_len=15, predict_len=15, stride_len=15, need_normalize=True, alpha=1, beta=1, gamma=1
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, train loss1: 0.3148, train loss2: 0.6190, train loss3: 0.3368, train current mpjpe: 164.6927, train future mpjpe: 168.8536
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, val loss1: 0.3164, val loss2: 0.5336, val loss3: 0.3279, val current mpjpe: 161.0087, val future mpjpe: 206.6940
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, train current pixel pck: current_pck@5px: 0.0519, current_pck@10px: 0.0818, current_pck@20px: 0.1301, train future pixel pck: future_pck@5px: 0.0523, future_pck@10px: 0.0795, future_pck@20px: 0.1251
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, val current pixel pck: current_pck@5px: 0.0408, current_pck@10px: 0.0706, current_pck@20px: 0.1130, val future pixel pck: future_pck@5px: 0.0605, future_pck@10px: 0.0961, future_pck@20px: 0.1511
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 208.4002
        1       Neck 134.7840
        2  RShoulder 141.4371
        3     RElbow 132.4036
        4     RWrist 182.0972
        5  LShoulder 143.7036
        6     LElbow 115.5783
        7     LWrist 148.5731
        8     MidHip   8.8353
        9       RHip  39.3524
       10      RKnee 127.7715
       11     RAnkle 193.1587
       12       LHip  41.9692
       13      LKnee 125.4199
       14     LAnkle 185.1624
       15       REye 225.8114
       16       LEye 223.5785
       17       REar 228.5506
       18       LEar 201.0800
       19    LBigToe 225.8706
       20  LSmallToe 229.7382
       21      LHeel 190.7607
       22    RBigToe 228.7580
       23  RSmallToe 237.4401
       24      RHeel 197.0832
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 210.1241
        1       Neck 140.6640
        2  RShoulder 143.8183
        3     RElbow 132.9410
        4     RWrist 187.0492
        5  LShoulder 146.6891
        6     LElbow 117.0457
        7     LWrist 148.1991
        8     MidHip   8.6690
        9       RHip  41.1118
       10      RKnee 127.1609
       11     RAnkle 198.9634
       12       LHip  44.5300
       13      LKnee 125.8091
       14     LAnkle 189.0175
       15       REye 232.6071
       16       LEye 226.5609
       17       REar 235.7401
       18       LEar 203.9001
       19    LBigToe 234.5062
       20  LSmallToe 240.8042
       21      LHeel 195.3007
       22    RBigToe 238.5852
       23  RSmallToe 245.7793
       24      RHeel 205.7637
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, val current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 215.1822
        1       Neck 116.6413
        2  RShoulder 128.5769
        3     RElbow 130.5597
        4     RWrist 185.5255
        5  LShoulder 124.9854
        6     LElbow 107.4438
        7     LWrist 142.8030
        8     MidHip  11.3432
        9       RHip  38.8410
       10      RKnee 122.5727
       11     RAnkle 171.7708
       12       LHip  41.0959
       13      LKnee 126.1510
       14     LAnkle 176.9312
       15       REye 247.9790
       16       LEye 243.4939
       17       REar 255.4620
       18       LEar 225.7308
       19    LBigToe 212.1735
       20  LSmallToe 218.4699
       21      LHeel 188.2897
       22    RBigToe 205.3409
       23  RSmallToe 211.1662
       24      RHeel 176.6870
[2026-05-01 00:29:33] [20260501002757] Epoch: 0, val future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 231.8228
        1       Neck 237.2756
        2  RShoulder 237.7116
        3     RElbow 221.5949
        4     RWrist 187.6251
        5  LShoulder 243.9915
        6     LElbow 196.0505
        7     LWrist 142.6636
        8     MidHip   4.8538
        9       RHip  35.9846
       10      RKnee 178.9949
       11     RAnkle 253.5162
       12       LHip  39.4761
       13      LKnee 174.2745
       14     LAnkle 245.4243
       15       REye 239.1102
       16       LEye 245.6047
       17       REar 238.3267
       18       LEar 215.1676
       19    LBigToe 264.4248
       20  LSmallToe 271.6246
       21      LHeel 241.1597
       22    RBigToe 279.5244
       23  RSmallToe 289.3872
       24      RHeel 251.7609
