[2026-04-03 08:18:40] 备注: 跨域实验, cross=cross_person, cross_idx=1
[2026-04-03 08:18:40] cross=cross_person, cross_idx=1, mask_ratio=0.25, batch_size=256, lr=0.001, epochs=200, loss_func=l1, resnet_verson=resnet18, imu_generator=transformer, transformer_hidden=128, transformer_layers=2, transformer_nhead=4, transformer_dropout=0.1, use_len=60, compute_len=15, predict_len=15, stride_len=15, need_normalize=True, alpha=1, beta=1, gamma=1
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, train loss1: 0.2510, train loss2: 0.5929, train loss3: 0.2592, train current mpjpe: 128.9546, train future mpjpe: 135.0891
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, val loss1: 0.3086, val loss2: 0.6241, val loss3: 0.3179, val current mpjpe: 126.6047, val future mpjpe: 134.0038
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, train current pixel pck: current_pck@5px: 0.0432, current_pck@10px: 0.0828, current_pck@20px: 0.1538, train future pixel pck: future_pck@5px: 0.0434, future_pck@10px: 0.0825, future_pck@20px: 0.1521
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, val current pixel pck: current_pck@5px: 0.0475, current_pck@10px: 0.0859, current_pck@20px: 0.1492, val future pixel pck: future_pck@5px: 0.0497, future_pck@10px: 0.0871, future_pck@20px: 0.1491
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 160.4439
        1       Neck 108.1100
        2  RShoulder 116.8262
        3     RElbow 118.5113
        4     RWrist 150.0296
        5  LShoulder 117.1151
        6     LElbow 105.6581
        7     LWrist 114.9091
        8     MidHip   8.5771
        9       RHip  26.5969
       10      RKnee  93.6101
       11     RAnkle 149.9590
       12       LHip  28.6837
       13      LKnee  95.3971
       14     LAnkle 137.3969
       15       REye 172.7277
       16       LEye 181.3828
       17       REar 177.2160
       18       LEar 159.8074
       19    LBigToe 169.5238
       20  LSmallToe 177.0962
       21      LHeel 140.7977
       22    RBigToe 178.7239
       23  RSmallToe 179.6886
       24      RHeel 155.0770
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 164.6738
        1       Neck 111.8758
        2  RShoulder 116.6252
        3     RElbow 124.9466
        4     RWrist 167.7793
        5  LShoulder 117.7471
        6     LElbow 113.7497
        7     LWrist 123.6931
        8     MidHip   8.3944
        9       RHip  29.0686
       10      RKnee  99.8920
       11     RAnkle 159.0326
       12       LHip  32.1452
       13      LKnee  98.1518
       14     LAnkle 143.1871
       15       REye 179.1115
       16       LEye 184.6422
       17       REar 176.1638
       18       LEar 163.3463
       19    LBigToe 182.5814
       20  LSmallToe 187.7723
       21      LHeel 149.4304
       22    RBigToe 189.3225
       23  RSmallToe 189.9116
       24      RHeel 163.9836
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, val current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 163.5475
        1       Neck 100.2792
        2  RShoulder 104.3348
        3     RElbow  95.8763
        4     RWrist 138.9618
        5  LShoulder 110.8712
        6     LElbow  99.4066
        7     LWrist 127.0884
        8     MidHip   4.9424
        9       RHip  23.0539
       10      RKnee  97.3526
       11     RAnkle 138.6530
       12       LHip  22.1787
       13      LKnee  95.5156
       14     LAnkle 127.2220
       15       REye 180.0865
       16       LEye 194.4551
       17       REar 202.5134
       18       LEar 159.3321
       19    LBigToe 163.6867
       20  LSmallToe 165.4720
       21      LHeel 129.2766
       22    RBigToe 188.5402
       23  RSmallToe 188.9254
       24      RHeel 143.5460
[2026-04-03 08:35:24] [20260403061725] Epoch: 0, val future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 167.0720
        1       Neck 102.5909
        2  RShoulder 106.8735
        3     RElbow  99.2189
        4     RWrist 151.1700
        5  LShoulder 112.0147
        6     LElbow 102.6078
        7     LWrist 132.8380
        8     MidHip   4.2938
        9       RHip  23.0845
       10      RKnee 106.4215
       11     RAnkle 152.0781
       12       LHip  23.1274
       13      LKnee 101.8766
       14     LAnkle 133.4200
       15       REye 186.6436
       16       LEye 201.1455
       17       REar 212.1518
       18       LEar 163.0657
       19    LBigToe 180.9833
       20  LSmallToe 182.4646
       21      LHeel 140.3441
       22    RBigToe 203.4551
       23  RSmallToe 200.5368
       24      RHeel 160.6165
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, train loss1: 0.2000, train loss2: 0.5125, train loss3: 0.2099, train current mpjpe: 107.1946, train future mpjpe: 114.1805
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, val loss1: 0.2709, val loss2: 0.6081, val loss3: 0.2714, val current mpjpe: 120.6097, val future mpjpe: 125.8330
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, train current pixel pck: current_pck@5px: 0.0582, current_pck@10px: 0.1067, current_pck@20px: 0.1935, train future pixel pck: future_pck@5px: 0.0593, future_pck@10px: 0.1070, future_pck@20px: 0.1921
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, val current pixel pck: current_pck@5px: 0.0497, current_pck@10px: 0.0875, current_pck@20px: 0.1534, val future pixel pck: future_pck@5px: 0.0532, future_pck@10px: 0.0922, future_pck@20px: 0.1632
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 146.6073
        1       Neck  85.9567
        2  RShoulder  93.2069
        3     RElbow  85.1391
        4     RWrist 120.1601
        5  LShoulder  90.3415
        6     LElbow  75.4030
        7     LWrist  98.5818
        8     MidHip   4.3624
        9       RHip  21.1430
       10      RKnee  74.6937
       11     RAnkle 121.6116
       12       LHip  23.0683
       13      LKnee  74.8419
       14     LAnkle 115.8495
       15       REye 151.8895
       16       LEye 162.4133
       17       REar 151.1148
       18       LEar 130.3405
       19    LBigToe 148.9632
       20  LSmallToe 155.2055
       21      LHeel 122.0519
       22    RBigToe 146.9013
       23  RSmallToe 149.7561
       24      RHeel 130.2614
[2026-04-03 08:43:29] [20260403061725] Epoch: 1, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 152.4979
        1       Neck  91.0273
