[2025-07-06 22:52:34] Comment: sota, cross environment, train_environment_ids = [1, 3], val_environment_ids = [2]
[2025-07-06 22:52:34] Params: hidden_dim = 128, num_layers = 2, dropout = 0.3, window_size = 250, stride = 25, batch_size = 512, mask_ratio = 0.15 lr = 0.001, weight_decay = 0.0001, num_epochs = 800 alpha = 10, beta = 0.001, gamma = 1 
[2025-07-06 22:52:54] Train y1 count: Counter({20: 6832, 1: 5644, 7: 4321, 30: 3870, 0: 3465, 6: 3345, 13: 3177, 5: 3158, 9: 2770, 3: 2684, 22: 2522, 14: 2406, 4: 2378, 25: 2289, 23: 2152, 26: 2062, 18: 2030, 10: 1964, 24: 1911, 15: 1784, 21: 1755, 27: 1621, 29: 1212, 31: 1138, 32: 475, 33: 162})
[2025-07-06 22:52:54] Train y2 count: Counter({20: 6707, 1: 5479, 7: 4356, 30: 3860, 0: 3515, 6: 3510, 13: 3292, 5: 3258, 3: 2724, 9: 2560, 22: 2557, 4: 2478, 25: 2454, 14: 2366, 23: 2187, 26: 2042, 10: 1984, 24: 1971, 18: 1780, 21: 1765, 15: 1664, 27: 1626, 31: 1188, 29: 1122, 32: 490, 33: 192})
[2025-07-06 22:52:54] Val y1 count: Counter({8: 5048, 1: 3413, 11: 3264, 17: 3076, 19: 2452, 2: 2444, 7: 2334, 16: 2308, 25: 2306, 30: 2262, 22: 2121, 27: 2030, 5: 2026, 0: 1926, 12: 1846, 6: 1838, 28: 1638})
[2025-07-06 22:52:54] Val y2 count: Counter({8: 5028, 1: 3373, 11: 3204, 17: 3016, 2: 2504, 19: 2392, 25: 2326, 30: 2302, 16: 2288, 7: 2234, 22: 2161, 5: 2106, 27: 2030, 0: 1966, 6: 1898, 12: 1826, 28: 1678})
[2025-07-06 22:52:54] y1 class weights: tensor([ 0.5264,  0.3232,  0.0000,  0.6796,  0.7671,  0.5776,  0.5453,  0.4221,
         0.0000,  0.6585,  0.9288,  0.0000,  0.0000,  0.5742,  0.7581,  1.0225,
         0.0000,  0.0000,  0.8986,  0.0000,  0.2670,  1.0394,  0.7233,  0.8476,
         0.9545,  0.7969,  0.8846,  1.1253,  0.0000,  1.5050,  0.4713,  1.6029,
         3.8402, 11.2599])
[2025-07-06 22:52:54] y2 class weights: tensor([ 0.5475,  0.3512,  0.0000,  0.7065,  0.7766,  0.5907,  0.5483,  0.4418,
         0.0000,  0.7517,  0.9700,  0.0000,  0.0000,  0.5846,  0.8134,  1.1565,
         0.0000,  0.0000,  1.0811,  0.0000,  0.2869,  1.0903,  0.7526,  0.8799,
         0.9764,  0.7842,  0.9424,  1.1835,  0.0000,  1.7152,  0.4986,  1.6199,
         3.9274, 10.0230])
[2025-07-06 22:52:54] y1 + y2 class weights: tensor([ 0.5381,  0.3377,  0.0000,  0.6945,  0.7734,  0.5854,  0.5479,  0.4328,
         0.0000,  0.7046,  0.9513,  0.0000,  0.0000,  0.5806,  0.7870,  1.0893,
         0.0000,  0.0000,  0.9858,  0.0000,  0.2774,  1.0670,  0.7395,  0.8656,
         0.9675,  0.7919,  0.9151,  1.1567,  0.0000,  1.6091,  0.4859,  1.6147,
         3.8920, 10.6095])
[2025-07-06 22:54:58] Epoch: 0, train loss: 27.0499, train loss1: 2.2867, train loss2: 926.7070, train loss3: 3.2566, train acc1: 0.3342, train acc2: 0.0782
[2025-07-06 22:55:30] Epoch: 0, val loss: 539.6176, val loss1: 7.2655, val loss2: 527.9604, val loss3: 4.3917, val acc1: 0.2109, val acc2: 0.0000
[2025-07-06 22:56:48] Epoch: 1, train loss: 17.9235, train loss1: 1.3827, train loss2: 926.9250, train loss3: 3.1700, train acc1: 0.5695, train acc2: 0.0988
[2025-07-06 22:57:21] Epoch: 1, val loss: 540.3813, val loss1: 7.5985, val loss2: 528.0400, val loss3: 4.7428, val acc1: 0.2511, val acc2: 0.0000
[2025-07-06 22:58:38] Epoch: 2, train loss: 14.6784, train loss1: 1.0607, train loss2: 927.0218, train loss3: 3.1443, train acc1: 0.6638, train acc2: 0.0972
[2025-07-06 22:59:10] Epoch: 2, val loss: 541.7977, val loss1: 8.6131, val loss2: 528.1140, val loss3: 5.0705, val acc1: 0.2564, val acc2: 0.0000
[2025-07-06 23:00:25] Epoch: 3, train loss: 12.6222, train loss1: 0.8560, train loss2: 927.0486, train loss3: 3.1350, train acc1: 0.7297, train acc2: 0.0970
[2025-07-06 23:00:55] Epoch: 3, val loss: 541.7469, val loss1: 8.5034, val loss2: 528.1078, val loss3: 5.1357, val acc1: 0.2655, val acc2: 0.0000
[2025-07-06 23:02:15] Epoch: 4, train loss: 11.2341, train loss1: 0.7174, train loss2: 927.0290, train loss3: 3.1333, train acc1: 0.7743, train acc2: 0.0972
[2025-07-06 23:02:48] Epoch: 4, val loss: 542.5635, val loss1: 9.2819, val loss2: 528.0640, val loss3: 5.2176, val acc1: 0.2683, val acc2: 0.0000
[2025-07-06 23:04:04] Epoch: 5, train loss: 10.2762, train loss1: 0.6217, train loss2: 927.0120, train loss3: 3.1318, train acc1: 0.8024, train acc2: 0.0955
[2025-07-06 23:04:35] Epoch: 5, val loss: 542.6984, val loss1: 9.3516, val loss2: 528.0623, val loss3: 5.2845, val acc1: 0.2603, val acc2: 0.0000
[2025-07-06 23:05:54] Epoch: 6, train loss: 9.6342, train loss1: 0.5577, train loss2: 926.9843, train loss3: 3.1307, train acc1: 0.8230, train acc2: 0.0955
[2025-07-06 23:06:26] Epoch: 6, val loss: 543.3937, val loss1: 9.9508, val loss2: 528.0619, val loss3: 5.3810, val acc1: 0.2579, val acc2: 0.0000
[2025-07-06 23:07:39] Epoch: 7, train loss: 9.1227, train loss1: 0.5065, train loss2: 926.9493, train loss3: 3.1304, train acc1: 0.8384, train acc2: 0.0970
[2025-07-06 23:08:12] Epoch: 7, val loss: 543.3737, val loss1: 9.9111, val loss2: 528.0226, val loss3: 5.4400, val acc1: 0.2612, val acc2: 0.0000
[2025-07-06 23:09:33] Epoch: 8, train loss: 8.6555, train loss1: 0.4601, train loss2: 926.9069, train loss3: 3.1280, train acc1: 0.8518, train acc2: 0.0961
[2025-07-06 23:10:05] Epoch: 8, val loss: 543.8210, val loss1: 10.1952, val loss2: 528.0331, val loss3: 5.5926, val acc1: 0.2666, val acc2: 0.0000
[2025-07-06 23:11:20] Epoch: 9, train loss: 8.3477, train loss1: 0.4294, train loss2: 926.8825, train loss3: 3.1268, train acc1: 0.8608, train acc2: 0.0963
[2025-07-06 23:11:52] Epoch: 9, val loss: 544.1961, val loss1: 10.5701, val loss2: 528.0284, val loss3: 5.5976, val acc1: 0.2675, val acc2: 0.0000
