[2026-04-04 03:19:02] 备注: 设备消融实验, exclude_device_idx = (1, 4)
[2026-04-04 03:19:02] exclude_device_idx=(1, 4), mask_ratio=0.25, batch_size=256, lr=0.001, epochs=200, loss_func=l1, resnet_verson=resnet18, imu_generator=transformer, transformer_hidden=128, transformer_layers=2, transformer_nhead=4, transformer_dropout=0.1, use_len=60, compute_len=15, predict_len=15, stride_len=15, need_normalize=True, alpha=1, beta=1, gamma=1
[2026-04-04 03:35:33] [20260404031902] Epoch: 0, train loss1: 0.2613, train loss2: 0.5993, train loss3: 0.2705, train current mpjpe: 121.4667, train future mpjpe: 128.3679
[2026-04-04 03:35:33] [20260404031902] Epoch: 0, val loss1: 0.2180, val loss2: 0.5179, val loss3: 0.2289, val current mpjpe: 106.1295, val future mpjpe: 113.6803
[2026-04-04 03:35:34] [20260404031902] Epoch: 0, train current pixel pck: current_pck@5px: 0.0376, current_pck@10px: 0.0742, current_pck@20px: 0.1410, train future pixel pck: future_pck@5px: 0.0382, future_pck@10px: 0.0745, future_pck@20px: 0.1401
[2026-04-04 03:35:34] [20260404031902] Epoch: 0, val current pixel pck: current_pck@5px: 0.0455, current_pck@10px: 0.0891, current_pck@20px: 0.1650, val future pixel pck: future_pck@5px: 0.0454, future_pck@10px: 0.0873, future_pck@20px: 0.1613
[2026-04-04 03:35:34] [20260404031902] Epoch: 0, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 148.5441
        1       Neck  96.3742
        2  RShoulder 101.4696
        3     RElbow 107.8762
        4     RWrist 140.8315
        5  LShoulder 103.8853
        6     LElbow 103.5962
        7     LWrist 121.9277
        8     MidHip   9.9089
        9       RHip  28.7080
       10      RKnee  98.1766
       11     RAnkle 137.0044
       12       LHip  30.7152
       13      LKnee  96.6251
       14     LAnkle 124.2346
       15       REye 166.3500
       16       LEye 167.3543
       17       REar 173.2938
       18       LEar 156.1197
       19    LBigToe 158.3505
       20  LSmallToe 165.6490
       21      LHeel 130.9925
       22    RBigToe 163.8188
       23  RSmallToe 163.4160
       24      RHeel 141.4443
[2026-04-04 03:35:34] [20260404031902] Epoch: 0, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 154.9663
        1       Neck  97.3404
        2  RShoulder 103.4944
        3     RElbow 114.5870
        4     RWrist 155.6662
        5  LShoulder 107.2521
        6     LElbow 105.3470
        7     LWrist 130.2564
        8     MidHip  10.1111
        9       RHip  31.8314
       10      RKnee 101.7826
       11     RAnkle 144.9925
       12       LHip  34.0006
       13      LKnee 102.7715
       14     LAnkle 132.5201
       15       REye 175.7770
       16       LEye 178.4982
       17       REar 176.1767
       18       LEar 161.7559
       19    LBigToe 172.1801
       20  LSmallToe 177.4834
       21      LHeel 137.5187
       22    RBigToe 173.8338
       23  RSmallToe 178.6512
       24      RHeel 150.4019
