[2026-04-03 11:39:30] 备注: MASK消融实验, mask_ratio=0.1
[2026-04-03 11:39:30] mask_ratio=0.1, batch_size=512, lr=0.001, epochs=200, loss_func=l1, resnet_verson=resnet18, imu_generator=transformer, transformer_hidden=128, transformer_layers=2, transformer_nhead=4, transformer_dropout=0.1, use_len=60, compute_len=15, predict_len=15, stride_len=15, need_normalize=True, alpha=1, beta=1, gamma=1
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, train loss1: 0.2654, train loss2: 0.6319, train loss3: 0.2763, train current mpjpe: 121.0557, train future mpjpe: 128.1878
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, val loss1: 0.2080, val loss2: 0.5302, val loss3: 0.2177, val current mpjpe: 104.0597, val future mpjpe: 110.3457
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, train current pixel pck: current_pck@5px: 0.0349, current_pck@10px: 0.0719, current_pck@20px: 0.1401, train future pixel pck: future_pck@5px: 0.0354, future_pck@10px: 0.0715, future_pck@20px: 0.1372
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, val current pixel pck: current_pck@5px: 0.0458, current_pck@10px: 0.0946, current_pck@20px: 0.1802, val future pixel pck: future_pck@5px: 0.0495, future_pck@10px: 0.0958, future_pck@20px: 0.1764
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, train current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 150.0988
        1       Neck  96.2758
        2  RShoulder 104.2860
        3     RElbow 113.7038
        4     RWrist 139.3970
        5  LShoulder 109.5907
        6     LElbow 104.7222
        7     LWrist 117.0911
        8     MidHip  12.4267
        9       RHip  29.2872
       10      RKnee  94.9971
       11     RAnkle 133.1655
       12       LHip  31.4109
       13      LKnee  93.6558
       14     LAnkle 120.6354
       15       REye 166.4777
       16       LEye 168.8596
       17       REar 173.3587
       18       LEar 155.0533
       19    LBigToe 157.7373
       20  LSmallToe 160.0172
       21      LHeel 127.0841
       22    RBigToe 162.4888
       23  RSmallToe 164.9308
       24      RHeel 139.6396
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, train future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 155.9979
        1       Neck 100.3376
        2  RShoulder 104.0033
        3     RElbow 121.3252
        4     RWrist 153.9869
        5  LShoulder 105.7863
        6     LElbow 107.5072
        7     LWrist 124.1726
        8     MidHip  11.8508
        9       RHip  31.4512
       10      RKnee 100.3330
       11     RAnkle 144.5123
       12       LHip  34.5541
       13      LKnee  99.0284
       14     LAnkle 128.0939
       15       REye 177.4226
       16       LEye 181.2137
       17       REar 179.9811
       18       LEar 157.8637
       19    LBigToe 170.0279
       20  LSmallToe 175.0420
       21      LHeel 133.6270
       22    RBigToe 176.5170
       23  RSmallToe 179.8571
       24      RHeel 150.2032
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, val current per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 135.2626
        1       Neck  81.2309
        2  RShoulder  88.6538
        3     RElbow  90.8534
        4     RWrist 126.6367
        5  LShoulder  90.4798
        6     LElbow  79.9758
        7     LWrist 105.2124
        8     MidHip   6.7706
        9       RHip  22.6119
       10      RKnee  77.7068
       11     RAnkle 115.2597
       12       LHip  24.2248
       13      LKnee  78.5088
       14     LAnkle 102.6144
       15       REye 142.3717
       16       LEye 154.3335
       17       REar 146.6046
       18       LEar 135.0408
       19    LBigToe 138.2258
       20  LSmallToe 142.5631
       21      LHeel 110.0675
       22    RBigToe 141.6199
       23  RSmallToe 143.2945
       24      RHeel 121.3677
[2026-04-03 11:53:43] [20260403113930] Epoch: 0, val future per-joint MPJPE:
 joint_id joint_name    mpjpe
        0       Nose 142.7372
        1       Neck  85.2465
        2  RShoulder  88.5927
        3     RElbow  98.0750
        4     RWrist 139.9833
        5  LShoulder  87.5089
        6     LElbow  84.5960
        7     LWrist 113.9856
        8     MidHip   5.7157
        9       RHip  24.8275
       10      RKnee  81.8347
       11     RAnkle 124.7713
       12       LHip  26.9785
       13      LKnee  81.5027
       14     LAnkle 112.2950
       15       REye 150.5174
       16       LEye 162.6788
       17       REar 149.6515
       18       LEar 137.2373
       19    LBigToe 148.0030
       20  LSmallToe 153.8471
       21      LHeel 116.8217
       22    RBigToe 153.0467
       23  RSmallToe 156.7470
       24      RHeel 131.4403
